rule_id,title,file_path,tactic_folder,tactics,techniques,severity,risk_score,status,lifecycle,data_sources,owner,priority_bucket,priority_rank,validation_status,tuning_status,production_readiness,soc_triage_guide,notes
SENT-COLL-0001,Clipboard Data Collection,detections/sentinel/collection/clipboard-data-collection.yml,collection,Collection,T1115,medium,60,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-COLL-0002,Mass File Enumeration in User Data Paths,detections/sentinel/collection/mass-file-enumeration-in-user-data-paths.yml,collection,Collection,T1005; T1039,medium,58,experimental,experimental,DeviceFileEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-COLL-0003,Screen Capture Utility Execution,detections/sentinel/collection/screen-capture-utility-execution.yml,collection,Collection,T1113,medium,55,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-C2-0001,DNS Tunneling Behavior,detections/sentinel/command-and-control/dns-tunneling-behavior.yml,command-and-control,Command and Control,T1071.004,high,78,experimental,experimental,DeviceNetworkEvents,Detection Engineering,Priority 1,10,Not started,Not started,Draft,Planned,
SENT-C2-0002,PowerShell or LOLBin External Network Traffic,detections/sentinel/command-and-control/powershell-or-lolbin-external-network-traffic.yml,command-and-control,Command and Control; Execution,T1105; T1218,high,72,experimental,experimental,DeviceNetworkEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-C2-0003,Suspicious Web Download via Certutil or Bitsadmin,detections/sentinel/command-and-control/suspicious-web-download-via-certutil-or-bitsadmin.yml,command-and-control,Command and Control; Execution,T1105,high,75,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-CRED-0002,Potential LSASS Memory Dump,detections/sentinel/credential-access/potential-lsass-memory-dump.yml,credential-access,Credential Access,T1003.001,high,85,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,4,Not started,Not started,Draft,Planned,
SENT-CRED-0001,Potential NTLM Enumeration via Failed Logons,detections/sentinel/credential-access/potential-ntlm-enumeration-via-failed-logons.yml,credential-access,Credential Access; Reconnaissance,T1110.003; T1087,high,78,experimental,experimental,IdentityLogonEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-CRED-0003,Suspicious Browser Credential Store Access,detections/sentinel/credential-access/suspicious-browser-credential-store-access.yml,credential-access,Credential Access,T1555.003,medium,65,experimental,experimental,DeviceFileEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-DEFEV-0003,Clear Windows Event Logs,detections/sentinel/defense-evasion/clear-windows-event-logs.yml,defense-evasion,Defense Evasion,T1070.001,high,75,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-DEFEV-0001,PowerShell Script Block Logging Disabled,detections/sentinel/defense-evasion/powershell-script-block-logging-disabled.yml,defense-evasion,Defense Evasion,T1562.001,high,80,experimental,experimental,DeviceRegistryEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-DEFEV-0002,Security Tool Disable Attempt,detections/sentinel/defense-evasion/security-tool-disable-attempt.yml,defense-evasion,Defense Evasion,T1562.001,high,82,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-DISC-0003,LDAP Enumeration Using PowerShell,detections/sentinel/discovery/ldap-enumeration-using-powershell.yml,discovery,Discovery,T1087.002; T1018,high,68,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,5,Not started,Not started,Draft,Planned,
SENT-DISC-0001,Net Group and Domain Trust Discovery,detections/sentinel/discovery/net-group-and-domain-trust-discovery.yml,discovery,Discovery,T1069; T1482; T1087,medium,55,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-DISC-0002,System and Network Configuration Discovery,detections/sentinel/discovery/system-and-network-configuration-discovery.yml,discovery,Discovery,T1016; T1082; T1049,medium,50,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-EXEC-0002,MSHTA Launching Script or PowerShell,detections/sentinel/execution/mshta-launching-script-or-powershell.yml,execution,Execution; Defense Evasion,T1218.005,high,70,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,2,Not started,Not started,Draft,Planned,
SENT-EXEC-0001,PowerShell Encoded Command Execution,detections/sentinel/execution/powershell-encoded-command-execution.yml,execution,Execution,T1059.001,high,75,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,1,Not started,Not started,Draft,Planned,
SENT-EXEC-0003,PowerShell Script Dropped to Temp,detections/sentinel/execution/powershell-script-dropped-to-temp.yml,execution,Execution,T1059.001,high,70,experimental,experimental,DeviceFileEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-EXFIL-0002,Archive Creation Followed by External Transfer,detections/sentinel/exfiltration/archive-creation-followed-by-external-transfer.yml,exfiltration,Collection; Exfiltration,T1560; T1048,high,78,experimental,experimental,DeviceFileEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-EXFIL-0003,OneDrive or Cloud Storage Bulk Upload Spike,detections/sentinel/exfiltration/onedrive-or-cloud-storage-bulk-upload-spike.yml,exfiltration,Exfiltration,T1567.002,medium,65,experimental,experimental,CloudAppEvents,Detection Engineering,Priority 1,11,Not started,Not started,Draft,Planned,
SENT-EXFIL-0001,PowerShell Email Exfiltration with Attachments,detections/sentinel/exfiltration/powershell-email-exfiltration-with-attachments.yml,exfiltration,Exfiltration,T1020; T1048,high,80,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-IMPACT-0003,Boot Configuration or Recovery Tampering,detections/sentinel/impact/boot-configuration-or-recovery-tampering.yml,impact,Impact; Defense Evasion,T1490; T1562,high,78,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-IMPACT-0002,Mass File Rename or Encryption Burst,detections/sentinel/impact/mass-file-rename-or-encryption-burst.yml,impact,Impact,T1486,high,82,experimental,experimental,DeviceFileEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-IMPACT-0001,Volume Shadow Copy Deletion,detections/sentinel/impact/volume-shadow-copy-deletion.yml,impact,Impact,T1490,high,85,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,8,Not started,Not started,Draft,Planned,
SENT-INIT-0001,Multiple User Device Code Sign-Ins,detections/sentinel/initial-access/multiple-user-device-code-sign-ins.yml,initial-access,Initial Access; Credential Access,T1566; T1078,high,75,experimental,experimental,SigninLogs,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-INIT-0003,Potential Spearphishing Attachment Execution,detections/sentinel/initial-access/potential-spearphishing-attachment-execution.yml,initial-access,Initial Access; Execution,T1566.001,high,80,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-INIT-0002,Suspicious External Remote Service Sign-In,detections/sentinel/initial-access/suspicious-external-remote-service-sign-in.yml,initial-access,Initial Access,T1133,high,70,experimental,experimental,SigninLogs,Detection Engineering,Priority 1,12,Not started,Not started,Draft,Planned,
SENT-LAT-0002,Remote Scheduled Task Creation,detections/sentinel/lateral-movement/remote-scheduled-task-creation.yml,lateral-movement,Lateral Movement,T1053.005; T1021,high,75,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-LAT-0001,Remote Service Creation,detections/sentinel/lateral-movement/remote-service-creation.yml,lateral-movement,Lateral Movement,T1021.002; T1569.002,high,80,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-LAT-0003,WMI Remote Process Execution,detections/sentinel/lateral-movement/wmi-remote-process-execution.yml,lateral-movement,Lateral Movement; Execution,T1047,high,78,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,6,Not started,Not started,Draft,Planned,
SENT-PERS-0001,Registry Run Key Modification,detections/sentinel/persistence/registry-run-key-modification.yml,persistence,Persistence,T1547.001,high,70,experimental,experimental,DeviceRegistryEvents,Detection Engineering,Priority 1,3,Not started,Not started,Draft,Planned,
SENT-PERS-0003,Service Binary Path Hijack,detections/sentinel/persistence/service-binary-path-hijack.yml,persistence,Persistence; Privilege Escalation,T1543.003,high,75,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,9,Not started,Not started,Draft,Planned,
SENT-PERS-0002,Suspicious Scheduled Task Creation,detections/sentinel/persistence/suspicious-scheduled-task-creation.yml,persistence,Persistence,T1053.005,high,72,experimental,experimental,DeviceProcessEvents,Detection Engineering,Priority 1,7,Not started,Not started,Draft,Planned,
SENT-PRIVESC-0001,Event Viewer UAC Bypass Registry Hijack,detections/sentinel/privilege-escalation/event-viewer-uac-bypass-registry-hijack.yml,privilege-escalation,Privilege Escalation; Defense Evasion,T1548.002,high,80,experimental,experimental,DeviceRegistryEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-PRIVESC-0003,Suspicious Service Creation for Elevation,detections/sentinel/privilege-escalation/suspicious-service-creation-for-elevation.yml,privilege-escalation,Privilege Escalation; Persistence,T1543.003,high,70,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-PRIVESC-0002,Suspicious Token Manipulation or SeDebug Use,detections/sentinel/privilege-escalation/suspicious-token-manipulation-or-sedebug-use.yml,privilege-escalation,Privilege Escalation,T1134; T1068,high,78,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-RECON-0003,External Lookup Tool Usage,detections/sentinel/reconnaissance/external-lookup-tool-usage.yml,reconnaissance,Reconnaissance,T1590; T1596,low,40,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-RECON-0001,External Network Scanner Execution,detections/sentinel/reconnaissance/external-network-scanner-execution.yml,reconnaissance,Reconnaissance,T1595,medium,55,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-RECON-0002,Whoami and Net Enumeration Burst,detections/sentinel/reconnaissance/whoami-and-net-enumeration-burst.yml,reconnaissance,Reconnaissance; Discovery,T1087; T1016; T1482,medium,50,experimental,experimental,DeviceProcessEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-RESDEV-0002,Bulk Mailbox or Rule Creation,detections/sentinel/resource-development/bulk-mailbox-or-rule-creation.yml,resource-development,Resource Development,T1585; T1586,medium,60,experimental,experimental,OfficeActivity,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-RESDEV-0001,Suspicious Azure AD Application Registration,detections/sentinel/resource-development/suspicious-azure-ad-application-registration.yml,resource-development,Resource Development; Persistence,T1583.006,high,70,experimental,experimental,AuditLogs,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
SENT-RESDEV-0003,User Click Spike to Suspicious Domain,detections/sentinel/resource-development/user-click-spike-to-suspicious-domain.yml,resource-development,Resource Development; Initial Access,T1583.001,medium,55,experimental,experimental,UrlClickEvents,Detection Engineering,Backlog,,Not started,Not started,Draft,Not started,
